volume,volume_rows,length,normalized_len,concurrency,temp,layer,requests,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,qps,transport_errors,correctness_failures,passed,elapsed_seconds
50k,50000,short,25,1,cold,remote_match,119,83.027,92.498,98.872,84.26,99.916,11.866,0,0,True,10.029
50k,50000,short,25,1,warm,remote_match,119,83.046,94.948,99.878,84.248,100.72,11.867,0,0,True,10.027
50k,50000,short,25,5,cold,remote_match,256,196.242,254.671,341.228,196.947,359.103,25.322,0,0,True,10.11
50k,50000,short,25,5,warm,remote_match,260,192.111,262.689,282.986,193.476,312.167,25.733,0,0,True,10.104
50k,50000,short,25,10,cold,remote_match,261,383.077,529.009,602.082,387.81,701.023,25.607,0,0,True,10.193
50k,50000,short,25,10,warm,remote_match,263,385.234,479.687,523.088,385.402,586.616,25.726,0,0,True,10.223
50k,50000,short,25,20,cold,remote_match,265,786.509,1070.143,1329.608,779.186,1356.778,25.385,0,0,True,10.439
50k,50000,short,25,20,warm,remote_match,266,771.775,997.18,1078.139,766.196,1185.499,25.825,0,0,True,10.3
50k,50000,medium,100,1,cold,remote_match,63,158.893,174.228,176.2,160.455,176.2,6.232,0,0,True,10.11
50k,50000,medium,100,1,warm,remote_match,63,158.816,171.341,178.445,160.889,178.445,6.215,0,0,True,10.137
50k,50000,medium,100,5,cold,remote_match,98,535.731,635.3,713.547,518.649,713.547,9.553,0,0,True,10.259
50k,50000,medium,100,5,warm,remote_match,98,523.044,662.964,734.683,521.838,734.683,9.506,0,0,True,10.309
50k,50000,medium,100,10,cold,remote_match,101,1052.666,1238.155,1350.273,1026.687,1383.135,9.586,0,0,True,10.537
50k,50000,medium,100,10,warm,remote_match,100,1048.973,1222.532,1280.328,1024.763,1287.422,9.594,0,0,True,10.423
50k,50000,medium,100,20,cold,remote_match,102,2085.335,2332.475,2431.445,2034.479,2484.037,9.595,0,0,True,10.631
50k,50000,medium,100,20,warm,remote_match,103,2048.625,2353.055,2442.95,2026.105,2466.653,9.599,0,0,True,10.73
50k,50000,long,300,1,cold,remote_match,30,331.066,351.52,357.012,336.406,357.012,2.972,0,0,True,10.093
50k,50000,long,300,1,warm,remote_match,30,329.88,351.387,357.488,333.803,357.488,2.996,0,0,True,10.015
50k,50000,long,300,5,cold,remote_match,38,1414.099,1599.612,1631.859,1384.298,1631.859,3.535,0,0,True,10.748
50k,50000,long,300,5,warm,remote_match,37,1419.984,1752.935,1838.987,1397.295,1838.987,3.546,0,0,True,10.434
50k,50000,long,300,10,cold,remote_match,41,2730.064,3264.011,3354.639,2771.679,3354.639,3.533,0,0,True,11.606
50k,50000,long,300,10,warm,remote_match,40,2813.758,3046.521,3209.335,2765.846,3209.335,3.54,0,0,True,11.301
50k,50000,long,300,20,cold,remote_match,40,5555.299,5994.071,6075.21,5515.974,6075.21,3.54,0,0,True,11.3
50k,50000,long,300,20,warm,remote_match,40,5571.274,5997.609,6147.692,5553.884,6147.692,3.536,0,0,True,11.313
50k,50000,ultra,600,1,cold,remote_match,17,599.878,621.537,621.537,601.857,621.537,1.661,0,0,True,10.232
50k,50000,ultra,600,1,warm,remote_match,17,598.378,614.981,614.981,600.754,614.981,1.664,0,0,True,10.213
50k,50000,ultra,600,5,cold,remote_match,20,2730.314,3039.893,3070.439,2709.623,3070.439,1.811,0,0,True,11.044
50k,50000,ultra,600,5,warm,remote_match,20,2730.436,3053.843,3255.25,2675.635,3255.25,1.81,0,0,True,11.047
50k,50000,ultra,600,10,cold,remote_match,20,5406.84,5916.493,6077.23,5413.905,6077.23,1.809,0,0,True,11.055
50k,50000,ultra,600,10,warm,remote_match,20,5377.148,6076.188,6644.267,5378.443,6644.267,1.81,0,0,True,11.048
50k,50000,ultra,600,20,cold,remote_match,20,10666.915,11006.703,11018.578,10675.126,11018.578,1.814,0,0,True,11.023
50k,50000,ultra,600,20,warm,remote_match,20,10844.662,11003.108,11010.377,10774.895,11010.377,1.816,0,0,True,11.014
100k,100000,short,25,1,cold,remote_match,73,135.29,149.106,163.598,137.165,163.598,7.29,0,0,True,10.014
100k,100000,short,25,1,warm,remote_match,74,135.381,149.561,154.202,136.718,154.202,7.313,0,0,True,10.118
100k,100000,short,25,5,cold,remote_match,132,379.785,509.069,609.236,385.566,645.317,12.902,0,0,True,10.231
100k,100000,short,25,5,warm,remote_match,134,379.652,488.153,523.374,378.306,536.099,13.072,0,0,True,10.251
100k,100000,short,25,10,cold,remote_match,135,760.158,927.349,1093.684,761.096,1135.685,12.974,0,0,True,10.406
100k,100000,short,25,10,warm,remote_match,135,775.47,907.697,940.71,757.191,974.653,13.079,0,0,True,10.322
100k,100000,short,25,20,cold,remote_match,140,1516.043,1925.42,2116.424,1517.706,2175.005,12.943,0,0,True,10.817
100k,100000,short,25,20,warm,remote_match,141,1503.261,2053.158,2297.668,1488.439,2359.127,13.112,0,0,True,10.754
100k,100000,medium,100,1,cold,remote_match,40,252.912,262.557,276.572,254.913,276.572,3.923,0,0,True,10.197
100k,100000,medium,100,1,warm,remote_match,40,252.754,259.744,266.803,253.751,266.803,3.941,0,0,True,10.151
100k,100000,medium,100,5,cold,remote_match,51,1042.356,1202.808,1239.13,1020.389,1239.13,4.823,0,0,True,10.575
100k,100000,medium,100,5,warm,remote_match,50,1057.723,1423.806,1543.948,1054.416,1543.948,4.677,0,0,True,10.69
100k,100000,medium,100,10,cold,remote_match,51,2066.237,2230.557,2273.152,2030.723,2273.152,4.821,0,0,True,10.579
100k,100000,medium,100,10,warm,remote_match,53,2024.619,2480.052,2569.872,2006.096,2569.872,4.831,0,0,True,10.971
100k,100000,medium,100,20,cold,remote_match,60,4062.404,4454.158,4775.535,4074.341,4775.535,4.827,0,0,True,12.429
100k,100000,medium,100,20,warm,remote_match,60,4020.263,4642.129,5164.919,4006.925,5164.919,4.831,0,0,True,12.42
100k,100000,long,300,1,cold,remote_match,17,616.821,629.247,629.247,618.121,629.247,1.618,0,0,True,10.509
100k,100000,long,300,1,warm,remote_match,17,613.957,626.569,626.569,616.18,626.569,1.623,0,0,True,10.476
100k,100000,long,300,5,cold,remote_match,20,2762.266,3261.926,3404.541,2745.484,3404.541,1.778,0,0,True,11.247
100k,100000,long,300,5,warm,remote_match,20,2808.108,3269.908,3290.226,2735.673,3290.226,1.777,0,0,True,11.255
100k,100000,long,300,10,cold,remote_match,20,5531.222,6126.868,6193.248,5506.507,6193.248,1.767,0,0,True,11.317
100k,100000,long,300,10,warm,remote_match,20,5460.293,6285.398,6465.827,5491.827,6465.827,1.774,0,0,True,11.275
100k,100000,long,300,20,cold,remote_match,20,11060.314,11272.175,11273.012,10924.214,11273.012,1.774,0,0,True,11.277
100k,100000,long,300,20,warm,remote_match,20,11115.399,11259.314,11275.386,11107.666,11275.386,1.773,0,0,True,11.278
100k,100000,ultra,600,1,cold,remote_match,9,1146.654,1160.832,1160.832,1149.656,1160.832,0.87,0,0,True,10.347
100k,100000,ultra,600,1,warm,remote_match,9,1146.048,1180.065,1180.065,1148.986,1180.065,0.87,0,0,True,10.341
100k,100000,ultra,600,5,cold,remote_match,11,5407.861,6167.584,6167.584,5114.116,6167.584,0.908,0,0,True,12.114
100k,100000,ultra,600,5,warm,remote_match,10,5285.506,5820.079,5820.079,5440.861,5820.079,0.909,0,0,True,11.006
100k,100000,ultra,600,10,cold,remote_match,11,10645.202,11358.706,11358.706,9965.611,11358.706,0.907,0,0,True,12.122
100k,100000,ultra,600,10,warm,remote_match,11,10870.836,11269.889,11269.889,10036.165,11269.889,0.907,0,0,True,12.131
100k,100000,ultra,600,20,cold,remote_match,20,21545.094,21986.259,21997.533,21488.312,21997.533,0.909,0,0,True,22.001
100k,100000,ultra,600,20,warm,remote_match,20,21811.856,21996.072,22004.977,21737.172,22004.977,0.909,0,0,True,22.009
200k,200000,short,25,1,cold,remote_match,47,210.951,233.322,272.151,215.853,272.151,4.632,0,0,True,10.146
200k,200000,short,25,1,warm,remote_match,48,210.187,232.419,234.88,212.64,234.88,4.702,0,0,True,10.208
200k,200000,short,25,5,cold,remote_match,69,772.164,936.215,1065.567,761.573,1065.567,6.538,0,0,True,10.553
200k,200000,short,25,5,warm,remote_match,68,761.609,931.929,991.491,754.471,991.491,6.601,0,0,True,10.302
200k,200000,short,25,10,cold,remote_match,71,1516.529,1830.6,1910.657,1491.965,1910.657,6.564,0,0,True,10.817
200k,200000,short,25,10,warm,remote_match,70,1544.387,1805.892,1852.655,1478.353,1852.655,6.595,0,0,True,10.613
200k,200000,short,25,20,cold,remote_match,80,2987.106,3432.352,3770.51,2983.876,3770.51,6.547,0,0,True,12.22
200k,200000,short,25,20,warm,remote_match,79,2998.868,3414.063,3573.95,2961.355,3573.95,6.578,0,0,True,12.01
200k,200000,medium,100,1,cold,remote_match,21,488.806,500.911,514.638,487.464,514.638,2.051,0,0,True,10.237
200k,200000,medium,100,1,warm,remote_match,21,489.97,507.653,509.728,489.13,509.728,2.044,0,0,True,10.272
200k,200000,medium,100,5,cold,remote_match,27,2121.03,2560.118,2585.384,2027.148,2585.384,2.413,0,0,True,11.191
200k,200000,medium,100,5,warm,remote_match,26,2015.794,2362.032,2420.072,2015.824,2420.072,2.417,0,0,True,10.758
200k,200000,medium,100,10,cold,remote_match,30,4028.908,4495.701,4840.11,4003.815,4840.11,2.415,0,0,True,12.423
200k,200000,medium,100,10,warm,remote_match,30,4048.593,4817.511,4858.001,4028.016,4858.001,2.42,0,0,True,12.397
200k,200000,medium,100,20,cold,remote_match,40,8063.969,8891.437,8957.037,8101.382,8957.037,2.42,0,0,True,16.527
200k,200000,medium,100,20,warm,remote_match,40,7902.886,9282.087,9554.675,8020.068,9554.675,2.417,0,0,True,16.55
200k,200000,long,300,1,cold,remote_match,9,1201.332,1212.999,1212.999,1200.492,1212.999,0.833,0,0,True,10.805
200k,200000,long,300,1,warm,remote_match,9,1204.731,1206.884,1206.884,1201.784,1206.884,0.832,0,0,True,10.816
200k,200000,long,300,5,cold,remote_match,10,5506.635,6551.053,6551.053,5667.94,6551.053,0.864,0,0,True,11.57
200k,200000,long,300,5,warm,remote_match,10,5462.476,6116.923,6116.923,5433.795,6116.923,0.888,0,0,True,11.264
200k,200000,long,300,10,cold,remote_match,10,11116.589,120010.524,120010.524,21948.865,120010.524,0.083,1,0,False,120.012
200k,200000,long,300,10,warm,remote_match,10,11167.82,11336.443,11336.443,11119.558,11336.443,0.882,0,0,True,11.339
200k,200000,long,300,20,cold,remote_match,20,22310.845,22549.712,22565.524,22154.148,22565.524,0.886,0,0,True,22.569
200k,200000,long,300,20,warm,remote_match,20,22168.2,22498.672,22528.615,21904.751,22528.615,0.888,0,0,True,22.532
200k,200000,ultra,600,1,cold,remote_match,5,2264.854,2287.445,2287.445,2266.418,2287.445,0.441,0,0,True,11.332
200k,200000,ultra,600,1,warm,remote_match,5,2252.58,2264.538,2264.538,2252.793,2264.538,0.444,0,0,True,11.264
200k,200000,ultra,600,5,cold,remote_match,6,10527.237,11454.381,11454.381,9576.678,11454.381,0.453,0,0,True,13.255
200k,200000,ultra,600,5,warm,remote_match,6,10171.403,11476.289,11476.289,9532.417,11476.289,0.452,0,0,True,13.286
200k,200000,ultra,600,10,cold,remote_match,10,21875.885,22054.975,22054.975,21714.61,22054.975,0.453,0,0,True,22.057
200k,200000,ultra,600,10,warm,remote_match,10,21724.289,22033.783,22033.783,21613.113,22033.783,0.454,0,0,True,22.036
200k,200000,ultra,600,20,cold,remote_match,20,43486.131,43998.638,44039.898,43402.749,44039.898,0.454,0,0,True,44.043
200k,200000,ultra,600,20,warm,remote_match,20,43759.127,44061.284,44069.773,43528.19,44069.773,0.454,0,0,True,44.074
500k,500000,short,25,1,cold,remote_match,20,488.477,502.447,747.65,502.257,747.65,1.991,0,0,True,10.046
500k,500000,short,25,1,warm,remote_match,21,487.637,514.007,514.021,491.168,514.021,2.036,0,0,True,10.315
500k,500000,short,25,5,cold,remote_match,30,1903.191,2135.923,2182.791,1879.571,2182.791,2.617,0,0,True,11.464
500k,500000,short,25,5,warm,remote_match,29,1852.54,2199.899,2247.834,1833.874,2247.834,2.645,0,0,True,10.966
500k,500000,short,25,10,cold,remote_match,30,3621.154,4463.145,4536.366,3732.24,4536.366,2.625,0,0,True,11.429
500k,500000,short,25,10,warm,remote_match,30,3691.505,4109.704,4209.561,3681.686,4209.561,2.644,0,0,True,11.345
