volume,volume_rows,length,normalized_len,concurrency,temp,layer,requests,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,qps,transport_errors,correctness_failures,passed,elapsed_seconds
50k,50000,short,25,1,cold,remote_match,211,47.295,47.987,48.886,47.387,68.625,21.095,0,0,True,10.002
50k,50000,short,25,1,warm,remote_match,210,47.705,48.508,50.569,47.821,63.493,20.905,0,0,True,10.046
50k,50000,short,25,5,cold,remote_match,778,63.568,86.624,98.413,64.502,188.721,77.246,0,0,True,10.072
50k,50000,short,25,5,warm,remote_match,791,62.461,85.066,92.469,63.364,100.398,78.684,0,0,True,10.053
50k,50000,short,25,10,cold,remote_match,796,128.223,143.04,150.755,126.598,156.976,78.515,0,0,True,10.138
50k,50000,short,25,10,warm,remote_match,797,127.471,142.336,150.217,126.331,155.794,78.584,0,0,True,10.142
50k,50000,short,25,20,cold,remote_match,807,254.343,273.057,276.741,251.233,282.036,78.616,0,0,True,10.265
50k,50000,short,25,20,warm,remote_match,805,254.154,272.185,277.212,251.215,282.698,78.668,0,0,True,10.233
50k,50000,medium,100,1,cold,remote_match,212,47.218,48.046,48.402,47.21,49.008,21.175,0,0,True,10.012
50k,50000,medium,100,1,warm,remote_match,211,47.357,48.168,49.837,47.404,54.717,21.088,0,0,True,10.006
50k,50000,medium,100,5,cold,remote_match,789,63.233,85.816,94.474,63.515,103.463,78.469,0,0,True,10.055
50k,50000,medium,100,5,warm,remote_match,790,63.211,85.627,91.007,63.522,101.545,78.451,0,0,True,10.07
50k,50000,medium,100,10,cold,remote_match,796,127.699,143.109,149.7,126.314,153.513,78.554,0,0,True,10.133
50k,50000,medium,100,10,warm,remote_match,795,127.577,144.215,151.295,126.464,157.227,78.665,0,0,True,10.106
50k,50000,medium,100,20,cold,remote_match,806,254.072,273.667,276.9,251.244,283.495,78.621,0,0,True,10.252
50k,50000,medium,100,20,warm,remote_match,807,254.408,271.866,276.731,251.027,281.94,78.643,0,0,True,10.262
50k,50000,long,300,1,cold,remote_match,154,64.847,65.697,66.572,64.928,82.401,15.398,0,0,True,10.001
50k,50000,long,300,1,warm,remote_match,154,65.011,65.775,66.012,64.991,66.167,15.383,0,0,True,10.011
50k,50000,long,300,5,cold,remote_match,788,63.254,84.725,94.928,63.656,103.212,78.332,0,0,True,10.06
50k,50000,long,300,5,warm,remote_match,792,63.126,84.155,92.556,63.339,102.379,78.598,0,0,True,10.077
50k,50000,long,300,10,cold,remote_match,796,127.838,143.806,149.188,126.326,155.58,78.642,0,0,True,10.122
50k,50000,long,300,10,warm,remote_match,797,127.59,143.259,150.962,126.26,157.675,78.645,0,0,True,10.134
50k,50000,long,300,20,cold,remote_match,806,254.431,272.429,276.867,251.493,280.144,78.434,0,0,True,10.276
50k,50000,long,300,20,warm,remote_match,804,254.498,273.148,277.337,251.748,279.391,78.548,0,0,True,10.236
50k,50000,ultra,600,1,cold,remote_match,212,47.327,48.069,48.255,47.331,48.953,21.121,0,0,True,10.038
50k,50000,ultra,600,1,warm,remote_match,211,47.492,48.056,49.569,47.481,53.768,21.054,0,0,True,10.022
50k,50000,ultra,600,5,cold,remote_match,786,62.963,85.416,92.603,63.747,99.915,78.184,0,0,True,10.053
50k,50000,ultra,600,5,warm,remote_match,790,62.626,85.057,95.429,63.441,101.601,78.542,0,0,True,10.058
50k,50000,ultra,600,10,cold,remote_match,795,127.862,143.551,149.977,126.51,164.405,78.616,0,0,True,10.112
50k,50000,ultra,600,10,warm,remote_match,796,127.844,143.829,150.123,126.42,154.679,78.643,0,0,True,10.122
50k,50000,ultra,600,20,cold,remote_match,806,254.619,273.252,277.097,251.491,281.53,78.492,0,0,True,10.269
50k,50000,ultra,600,20,warm,remote_match,806,254.275,272.645,277.579,251.198,280.636,78.673,0,0,True,10.245
50k,50000,short,25,1,cold,query_recall,112,89.694,91.233,92.049,89.879,92.411,11.124,0,0,True,10.068
50k,50000,short,25,1,warm,query_recall,112,89.993,91.253,92.058,89.983,92.982,11.111,0,0,True,10.08
50k,50000,short,25,5,cold,query_recall,497,100.431,123.084,136.229,100.982,146.248,49.304,0,0,True,10.08
50k,50000,short,25,5,warm,query_recall,500,99.594,121.221,128.348,100.569,150.297,49.452,0,0,True,10.111
50k,50000,short,25,10,cold,query_recall,505,201.433,223.971,232.994,200.633,239.257,49.602,0,0,True,10.181
50k,50000,short,25,10,warm,query_recall,505,200.235,224.303,230.887,200.517,251.074,49.654,0,0,True,10.17
50k,50000,short,25,20,cold,query_recall,510,402.236,428.229,440.948,400.363,447.393,49.467,0,0,True,10.31
50k,50000,short,25,20,warm,query_recall,508,402.157,422.645,435.299,398.916,445.29,49.58,0,0,True,10.246
50k,50000,medium,100,1,cold,query_recall,112,89.899,91.125,94.28,90.008,113.406,11.108,0,0,True,10.083
50k,50000,medium,100,1,warm,query_recall,113,89.016,90.483,91.037,89.03,91.349,11.23,0,0,True,10.062
50k,50000,medium,100,5,cold,query_recall,499,100.341,120.887,131.902,100.705,139.281,49.545,0,0,True,10.072
50k,50000,medium,100,5,warm,query_recall,499,99.988,120.441,128.377,100.643,149.729,49.385,0,0,True,10.104
50k,50000,medium,100,10,cold,query_recall,502,201.01,224.336,238.575,200.662,248.033,49.573,0,0,True,10.126
50k,50000,medium,100,10,warm,query_recall,502,201.731,224.98,233.461,201.104,238.798,49.572,0,0,True,10.127
50k,50000,medium,100,20,cold,query_recall,511,400.953,427.439,440.062,399.721,456.755,49.569,0,0,True,10.309
50k,50000,medium,100,20,warm,query_recall,509,401.68,422.79,436.056,398.867,447.12,49.545,0,0,True,10.274
50k,50000,long,300,1,cold,query_recall,113,89.099,90.364,91.116,89.125,92.006,11.218,0,0,True,10.073
50k,50000,long,300,1,warm,query_recall,112,89.114,90.625,100.806,89.398,101.256,11.184,0,0,True,10.015
50k,50000,long,300,5,cold,query_recall,495,100.642,121.765,140.49,101.349,149.89,49.08,0,0,True,10.086
50k,50000,long,300,5,warm,query_recall,496,100.744,122.569,133.934,101.249,147.475,49.274,0,0,True,10.066
50k,50000,long,300,10,cold,query_recall,501,201.924,221.653,232.883,200.717,243.132,49.502,0,0,True,10.121
50k,50000,long,300,10,warm,query_recall,504,201.851,224.305,236.41,201.505,245.794,49.45,0,0,True,10.192
50k,50000,long,300,20,cold,query_recall,512,401.161,426.65,439.777,399.332,454.618,49.556,0,0,True,10.332
50k,50000,long,300,20,warm,query_recall,507,402.825,425.149,437.322,400.187,441.549,49.329,0,0,True,10.278
50k,50000,ultra,600,1,cold,query_recall,96,103.999,105.821,109.925,104.266,109.925,9.589,0,0,True,10.011
50k,50000,ultra,600,1,warm,query_recall,97,103.772,104.775,105.081,103.727,105.081,9.639,0,0,True,10.063
50k,50000,ultra,600,5,cold,query_recall,498,100.469,121.406,136.652,100.878,143.026,49.424,0,0,True,10.076
50k,50000,ultra,600,5,warm,query_recall,497,100.646,124.349,131.513,101.14,137.134,49.283,0,0,True,10.085
50k,50000,ultra,600,10,cold,query_recall,502,200.759,224.106,236.165,201.04,243.905,49.453,0,0,True,10.151
50k,50000,ultra,600,10,warm,query_recall,502,200.902,223.043,237.124,200.859,247.326,49.556,0,0,True,10.13
50k,50000,ultra,600,20,cold,query_recall,507,403.579,423.34,435.35,400.816,444.577,49.324,0,0,True,10.279
50k,50000,ultra,600,20,warm,query_recall,504,404.158,425.313,431.042,401.089,438.09,49.364,0,0,True,10.21
100k,100000,short,25,1,cold,remote_match,245,40.821,41.603,42.391,40.866,44.515,24.461,0,0,True,10.016
100k,100000,short,25,1,warm,remote_match,247,40.549,41.098,41.582,40.556,42.039,24.648,0,0,True,10.021
100k,100000,short,25,5,cold,remote_match,647,78.058,116.269,124.514,77.468,245.859,64.357,0,0,True,10.053
100k,100000,short,25,5,warm,remote_match,657,78.169,116.518,125.137,76.471,134.461,65.064,0,0,True,10.098
100k,100000,short,25,10,cold,remote_match,662,155.076,191.376,204.337,152.403,212.891,65.104,0,0,True,10.168
100k,100000,short,25,10,warm,remote_match,663,153.925,190.417,196.651,152.057,209.892,65.259,0,0,True,10.16
100k,100000,short,25,20,cold,remote_match,671,298.939,349.481,361.971,302.497,367.792,65.184,0,0,True,10.294
100k,100000,short,25,20,warm,remote_match,671,298.441,350.088,367.265,302.573,373.633,65.237,0,0,True,10.286
100k,100000,medium,100,1,cold,remote_match,166,60.391,61.002,61.195,60.369,61.265,16.56,0,0,True,10.024
100k,100000,medium,100,1,warm,remote_match,166,60.334,60.867,61.17,60.313,61.335,16.576,0,0,True,10.015
100k,100000,medium,100,5,cold,remote_match,656,75.537,114.965,124.687,76.506,134.955,65.151,0,0,True,10.069
100k,100000,medium,100,5,warm,remote_match,657,77.972,114.976,124.001,76.46,131.885,65.038,0,0,True,10.102
100k,100000,medium,100,10,cold,remote_match,662,153.228,190.799,197.004,152.321,201.859,65.114,0,0,True,10.167
100k,100000,medium,100,10,warm,remote_match,662,153.545,190.139,193.798,152.117,197.081,65.134,0,0,True,10.164
100k,100000,medium,100,20,cold,remote_match,671,299.974,350.54,365.594,302.525,370.436,65.15,0,0,True,10.299
100k,100000,medium,100,20,warm,remote_match,671,300.291,351.075,360.487,302.873,376.284,64.834,0,0,True,10.349
100k,100000,long,300,1,cold,remote_match,104,96.832,97.594,98.04,96.861,98.553,10.322,0,0,True,10.075
100k,100000,long,300,1,warm,remote_match,103,97.026,97.857,100.074,97.117,101.644,10.295,0,0,True,10.005
100k,100000,long,300,5,cold,remote_match,654,77.986,112.772,129.343,76.839,134.88,64.829,0,0,True,10.088
100k,100000,long,300,5,warm,remote_match,658,77.366,111.886,127.748,76.332,130.938,65.286,0,0,True,10.079
100k,100000,long,300,10,cold,remote_match,661,153.282,190.22,202.441,152.458,212.403,65.019,0,0,True,10.166
100k,100000,long,300,10,warm,remote_match,662,153.986,190.595,196.59,152.335,200.411,65.087,0,0,True,10.171
100k,100000,long,300,20,cold,remote_match,671,299.271,348.254,359.448,302.571,373.595,65.181,0,0,True,10.294
100k,100000,long,300,20,warm,remote_match,672,298.386,349.199,361.805,302.4,371.546,64.968,0,0,True,10.344
100k,100000,ultra,600,1,cold,remote_match,103,96.982,97.852,100.076,97.185,112.118,10.288,0,0,True,10.012
100k,100000,ultra,600,1,warm,remote_match,104,96.82,97.721,98.31,96.91,98.578,10.317,0,0,True,10.08
100k,100000,ultra,600,5,cold,remote_match,654,76.044,115.007,125.388,76.673,132.764,64.995,0,0,True,10.062
100k,100000,ultra,600,5,warm,remote_match,655,76.15,116.449,128.42,76.667,134.85,64.863,0,0,True,10.098
100k,100000,ultra,600,10,cold,remote_match,660,154.619,190.227,195.141,152.621,209.578,64.919,0,0,True,10.167
100k,100000,ultra,600,10,warm,remote_match,662,154.115,189.888,191.661,152.335,205.038,65.099,0,0,True,10.169
100k,100000,ultra,600,20,cold,remote_match,670,299.484,350.074,359.505,303.007,373.509,65.026,0,0,True,10.304
100k,100000,ultra,600,20,warm,remote_match,660,301.456,360.605,458.371,307.641,495.687,63.999,0,0,True,10.313
100k,100000,short,25,1,cold,query_recall,79,127.393,129.68,130.5,127.628,130.5,7.834,0,0,True,10.084
100k,100000,short,25,1,warm,query_recall,79,127.73,128.886,129.07,127.704,129.07,7.83,0,0,True,10.09
100k,100000,short,25,5,cold,query_recall,413,122.047,161.084,165.868,121.607,187.386,41.004,0,0,True,10.072
100k,100000,short,25,5,warm,query_recall,415,121.872,158.417,173.81,120.999,188.541,41.075,0,0,True,10.103
100k,100000,short,25,10,cold,query_recall,417,241.729,295.328,306.719,241.569,337.421,41.153,0,0,True,10.133
100k,100000,short,25,10,warm,query_recall,419,239.439,288.994,307.349,241.376,328.533,41.131,0,0,True,10.187
100k,100000,short,25,20,cold,query_recall,424,481.514,529.738,543.352,479.673,562.333,41.108,0,0,True,10.314
100k,100000,short,25,20,warm,query_recall,423,481.709,518.887,538.717,479.095,569.841,41.121,0,0,True,10.287
100k,100000,medium,100,1,cold,query_recall,66,153.352,154.67,155.233,153.41,155.233,6.518,0,0,True,10.126
100k,100000,medium,100,1,warm,query_recall,66,153.469,155.307,166.5,153.691,166.5,6.506,0,0,True,10.145
100k,100000,medium,100,5,cold,query_recall,415,118.091,158.537,168.723,121.333,204.554,41.015,0,0,True,10.118
100k,100000,medium,100,5,warm,query_recall,415,121.518,158.016,170.46,121.252,174.439,41.108,0,0,True,10.095
100k,100000,medium,100,10,cold,query_recall,419,242.652,285.682,310.266,242.58,327.077,41.019,0,0,True,10.215
100k,100000,medium,100,10,warm,query_recall,418,239.009,287.805,304.246,241.323,318.246,41.154,0,0,True,10.157
100k,100000,medium,100,20,cold,query_recall,425,480.903,522.48,548.739,479.941,585.211,41.127,0,0,True,10.334
100k,100000,medium,100,20,warm,query_recall,425,481.555,531.224,559.516,480.673,592.75,41.095,0,0,True,10.342
100k,100000,long,300,1,cold,query_recall,65,153.801,154.542,171.796,154.094,171.796,6.489,0,0,True,10.017
100k,100000,long,300,1,warm,query_recall,65,154.249,155.588,157.856,154.279,157.856,6.481,0,0,True,10.029
100k,100000,long,300,5,cold,query_recall,411,121.184,163.342,175.814,122.358,190.019,40.559,0,0,True,10.133
100k,100000,long,300,5,warm,query_recall,415,121.833,157.855,171.613,121.48,193.05,41.032,0,0,True,10.114
100k,100000,long,300,10,cold,query_recall,417,240.394,294.331,313.071,242.256,339.363,40.978,0,0,True,10.176
100k,100000,long,300,10,warm,query_recall,419,239.75,291.297,301.742,241.434,324.393,41.04,0,0,True,10.21
100k,100000,long,300,20,cold,query_recall,421,483.986,523.648,546.271,481.609,580.703,41.074,0,0,True,10.25
100k,100000,long,300,20,warm,query_recall,424,480.748,530.9,556.309,479.013,573.845,41.167,0,0,True,10.299
100k,100000,ultra,600,1,cold,query_recall,78,128.071,129.178,143.225,128.292,143.225,7.794,0,0,True,10.008
100k,100000,ultra,600,1,warm,query_recall,78,128.255,129.321,129.65,128.246,129.65,7.796,0,0,True,10.005
100k,100000,ultra,600,5,cold,query_recall,411,121.003,160.731,173.977,122.277,199.831,40.822,0,0,True,10.068
100k,100000,ultra,600,5,warm,query_recall,412,122.13,162.254,179.295,121.77,196.873,40.964,0,0,True,10.058
100k,100000,ultra,600,10,cold,query_recall,417,238.583,290.806,306.82,242.319,337.198,40.86,0,0,True,10.206
100k,100000,ultra,600,10,warm,query_recall,418,242.456,290.201,305.43,242.384,340.68,40.957,0,0,True,10.206
100k,100000,ultra,600,20,cold,query_recall,424,482.078,528.679,546.671,480.892,569.794,40.965,0,0,True,10.35
100k,100000,ultra,600,20,warm,query_recall,423,483.645,526.243,554.957,480.959,570.001,41.027,0,0,True,10.31
200k,200000,short,25,1,cold,remote_match,103,97.501,98.922,99.802,97.645,102.273,10.239,0,0,True,10.059
200k,200000,short,25,1,warm,remote_match,103,97.734,98.503,98.894,97.798,99.143,10.223,0,0,True,10.075
200k,200000,short,25,5,cold,remote_match,427,112.787,163.459,180.069,117.848,247.952,42.237,0,0,True,10.11
